,Date,Time,T,RH,AH,CO,CO_diff
33,12/03/2004,3.0,7.0,62.3,0.6261,0.8,1.82993132856093
35,12/03/2004,5.0,6.3,65.0,0.6233,0.6,2.411031146126736
36,12/03/2004,6.0,6.8,62.9,0.6234,0.8,1.82993132856093
37,12/03/2004,7.0,6.4,65.1,0.6316,1.4,0.5666318758635115
38,12/03/2004,8.0,7.3,63.1,0.6499,4.4,5.050134612376419
40,12/03/2004,10.0,13.2,41.7,0.632,3.1,0.8972834265541583
41,12/03/2004,11.0,14.3,38.4,0.6243,2.7,0.2994830616857708
42,12/03/2004,12.0,15.0,36.5,0.6195,2.1,0.002782514383189408
43,12/03/2004,13.0,16.1,34.5,0.6262,2.5,0.12058287925157687
44,12/03/2004,14.0,16.3,35.7,0.656,2.7,0.2994830616857708
45,12/03/2004,15.0,15.8,37.0,0.661,2.9,0.5583832441199642
46,12/03/2004,16.0,15.9,37.2,0.6657,2.8,0.41893315290286726
47,12/03/2004,17.0,16.9,34.3,0.6549,2.4,0.06113278803447997
48,12/03/2004,18.0,15.1,39.6,0.6766,3.9,3.052884156290933
49,12/03/2004,19.0,14.4,43.4,0.7084,3.7,2.3939839738567397
50,12/03/2004,20.0,12.9,50.5,0.7478,6.6,19.778036619152548
51,12/03/2004,21.0,12.1,53.3,0.7536,4.4,5.050134612376419
52,12/03/2004,22.0,11.0,59.1,0.774,3.5,1.8150837914225455
53,12/03/2004,23.0,9.7,64.6,0.7771,5.4,10.544635524547388
54,13/03/2004,0.0,9.5,64.1,0.7597,2.7,0.2994830616857708
55,13/03/2004,1.0,9.1,63.9,0.7423,1.9,0.06388233194899573
56,13/03/2004,2.0,8.8,63.9,0.7256,1.6,0.30553205829770497
57,13/03/2004,3.0,7.8,67.5,0.7173,1.7,0.204982149514802
59,13/03/2004,5.0,8.3,63.6,0.6982,1.0,1.3288315109951239
60,13/03/2004,6.0,7.2,67.5,0.6887,1.2,0.9077316934293177
61,13/03/2004,7.0,6.3,71.9,0.6932,1.5,0.42608196708060825
62,13/03/2004,8.0,6.5,71.6,0.6945,2.7,0.2994830616857708
63,13/03/2004,9.0,9.6,59.7,0.7124,3.7,2.3939839738567397
64,13/03/2004,10.0,12.4,51.2,0.7335,3.2,1.0967335177712554
65,13/03/2004,11.0,15.6,42.2,0.7451,4.1,3.7917843387251255
66,13/03/2004,12.0,18.4,33.8,0.709,3.6,2.0945338826396425
67,13/03/2004,13.0,19.4,31.3,0.695,2.8,0.41893315290286726
68,13/03/2004,14.0,18.0,34.8,0.7127,2.0,0.02333242316609255
69,13/03/2004,15.0,18.4,33.6,0.7042,2.0,0.02333242316609255
70,13/03/2004,16.0,17.6,35.1,0.7012,2.5,0.12058287925157687
71,13/03/2004,17.0,16.7,37.8,0.7117,2.3,0.021682696817383097
72,13/03/2004,18.0,16.1,41.0,0.7451,3.2,1.0967335177712554
73,13/03/2004,19.0,15.8,42.4,0.7569,4.2,4.191234429942225
74,13/03/2004,20.0,15.7,44.1,0.7786,4.2,4.191234429942225
75,13/03/2004,21.0,15.3,46.8,0.8091,4.2,4.191234429942225
76,13/03/2004,22.0,14.6,48.6,0.806,3.1,0.8972834265541583
77,13/03/2004,23.0,14.7,49.3,0.8193,2.6,0.20003297046867383
78,14/03/2004,0.0,13.9,53.6,0.8498,2.9,0.5583832441199642
79,14/03/2004,1.0,14.6,51.5,0.8536,2.8,0.41893315290286726
80,14/03/2004,2.0,12.5,58.9,0.8537,2.5,0.12058287925157687
81,14/03/2004,3.0,11.6,63.4,0.8674,2.4,0.06113278803447997
83,14/03/2004,5.0,11.5,63.1,0.8533,1.2,0.9077316934293177
84,14/03/2004,6.0,11.6,62.2,0.8473,1.0,1.3288315109951239
85,14/03/2004,7.0,10.4,67.6,0.853,0.9,1.5693814197780274
86,14/03/2004,8.0,11.6,62.7,0.853,1.4,0.5666318758635115
87,14/03/2004,9.0,12.4,60.0,0.8627,1.6,0.30553205829770497
88,14/03/2004,10.0,14.5,53.1,0.8728,2.2,0.0022326056002862998
89,14/03/2004,11.0,16.9,46.1,0.8789,2.8,0.41893315290286726
90,14/03/2004,12.0,19.3,38.3,0.8474,2.8,0.41893315290286726
91,14/03/2004,13.0,21.2,31.4,0.7812,2.0,0.02333242316609255
92,14/03/2004,14.0,21.4,30.2,0.7616,1.8,0.12443224073189879
93,14/03/2004,15.0,21.9,29.0,0.7525,1.9,0.06388233194899573
94,14/03/2004,16.0,22.2,28.4,0.7516,3.0,0.7178333353370612
95,14/03/2004,17.0,21.3,30.8,0.7696,2.9,0.5583832441199642
96,14/03/2004,18.0,19.7,36.7,0.8307,2.5,0.12058287925157687
97,14/03/2004,19.0,18.4,41.7,0.8732,4.6,5.9890347948106095
98,14/03/2004,20.0,17.6,46.1,0.921,5.9,14.041885980632873
99,14/03/2004,21.0,16.7,49.6,0.932,3.4,1.5556337002054486
100,14/03/2004,22.0,16.3,51.0,0.9341,2.1,0.002782514383189408
101,14/03/2004,23.0,14.7,55.9,0.9314,2.2,0.0022326056002862998
102,15/03/2004,0.0,14.8,54.7,0.9164,1.8,0.12443224073189879
103,15/03/2004,1.0,14.0,57.0,0.9094,1.8,0.12443224073189879
104,15/03/2004,2.0,13.4,61.3,0.9361,1.8,0.12443224073189879
105,15/03/2004,3.0,12.6,63.5,0.923,1.1,1.1082816022122206
107,15/03/2004,5.0,11.9,67.4,0.9375,1.0,1.3288315109951239
108,15/03/2004,6.0,11.4,70.5,0.9475,1.4,0.5666318758635115
109,15/03/2004,7.0,11.3,70.2,0.9401,2.2,0.0022326056002862998
110,15/03/2004,8.0,12.4,63.9,0.917,5.5,11.204085615764482
111,15/03/2004,9.0,14.8,54.3,0.9076,8.1,35.369787987409005
112,15/03/2004,10.0,17.4,45.6,0.8993,5.8,13.302435889415772
113,15/03/2004,11.0,19.8,38.5,0.8801,4.2,4.191234429942225
114,15/03/2004,12.0,22.0,34.1,0.8904,3.1,0.8972834265541583
115,15/03/2004,13.0,23.3,32.2,0.9096,2.9,0.5583832441199642
116,15/03/2004,14.0,23.9,30.0,0.8757,2.9,0.5583832441199642
117,15/03/2004,15.0,24.4,28.9,0.8736,2.5,0.12058287925157687
118,15/03/2004,16.0,24.4,29.4,0.8848,2.3,0.021682696817383097
119,15/03/2004,17.0,23.8,31.3,0.9137,2.8,0.41893315290286726
120,15/03/2004,18.0,22.5,35.4,0.9547,6.1,15.580786163067062
121,15/03/2004,19.0,20.4,42.5,1.0086,8.0,34.19033789619191
122,15/03/2004,20.0,18.3,52.6,1.0945,6.5,18.898586527935457
123,15/03/2004,21.0,16.7,57.4,1.0786,4.2,4.191234429942225
124,15/03/2004,22.0,15.7,60.2,1.0654,3.2,1.0967335177712554
125,15/03/2004,23.0,15.3,61.4,1.058,1.4,0.5666318758635115
126,16/03/2004,0.0,14.1,65.7,1.0494,2.1,0.002782514383189408
127,16/03/2004,1.0,14.8,60.6,1.0148,1.2,0.9077316934293177
128,16/03/2004,2.0,14.8,59.2,0.9879,0.8,1.82993132856093
129,16/03/2004,3.0,13.6,62.1,0.9636,0.7,2.1104812373438335
131,16/03/2004,5.0,12.8,63.2,0.9283,0.6,2.411031146126736
132,16/03/2004,6.0,11.2,68.5,0.9081,0.9,1.5693814197780274
133,16/03/2004,7.0,11.0,66.5,0.8705,1.3,0.7271817846464144
134,16/03/2004,8.0,11.7,63.7,0.8719,3.4,1.5556337002054486
135,16/03/2004,9.0,13.6,56.3,0.8743,3.7,2.3939839738567397
136,16/03/2004,10.0,17.8,42.9,0.8672,5.3,9.905185433330288
137,16/03/2004,11.0,21.4,33.3,0.8417,4.1,3.7917843387251255
138,16/03/2004,12.0,24.4,27.4,0.8231,3.3,1.3161836089883514
139,16/03/2004,13.0,25.3,26.1,0.8264,4.0,3.41233424750803
140,16/03/2004,14.0,25.8,23.2,0.7589,3.8,2.7134340650738356
141,16/03/2004,15.0,27.0,20.2,0.7094,2.8,0.41893315290286726
142,16/03/2004,16.0,28.2,18.6,0.7014,2.9,0.5583832441199642
143,16/03/2004,17.0,28.0,19.1,0.7098,2.9,0.5583832441199642
144,16/03/2004,18.0,23.9,25.7,0.7519,3.4,1.5556337002054486
145,16/03/2004,19.0,21.3,34.8,0.873,3.9,3.052884156290933
146,16/03/2004,20.0,20.4,36.7,0.8704,3.2,1.0967335177712554
147,16/03/2004,21.0,19.0,41.3,0.9007,5.1,8.686285250896093
148,16/03/2004,22.0,17.9,45.9,0.9342,2.6,0.20003297046867383
149,16/03/2004,23.0,16.7,48.9,0.9226,1.7,0.204982149514802
150,17/03/2004,0.0,15.5,52.9,0.9271,1.7,0.204982149514802
151,17/03/2004,1.0,15.5,51.9,0.9059,1.2,0.9077316934293177
152,17/03/2004,2.0,14.1,55.6,0.891,0.9,1.5693814197780274
153,17/03/2004,3.0,13.1,57.9,0.8666,0.7,2.1104812373438335
155,17/03/2004,5.0,11.8,58.0,0.8026,0.5,2.7315810549096398
156,17/03/2004,6.0,11.9,57.4,0.7978,0.5,2.7315810549096398
157,17/03/2004,7.0,9.9,65.2,0.7956,1.6,0.30553205829770497
158,17/03/2004,8.0,11.1,60.2,0.7958,4.1,3.7917843387251255
159,17/03/2004,9.0,14.1,50.0,0.802,6.6,19.778036619152548
160,17/03/2004,10.0,17.7,40.1,0.8048,4.3,4.610684521159319
161,17/03/2004,11.0,21.1,33.4,0.8265,2.9,0.5583832441199642
162,17/03/2004,12.0,24.3,28.3,0.8471,2.5,0.12058287925157687
163,17/03/2004,13.0,25.6,25.6,0.8254,2.8,0.41893315290286726
164,17/03/2004,14.0,25.9,25.9,0.8503,2.6,0.20003297046867383
165,17/03/2004,15.0,26.8,18.7,0.65,2.0,0.02333242316609255
166,17/03/2004,16.0,29.3,15.8,0.6309,2.9,0.5583832441199642
167,17/03/2004,17.0,28.5,14.9,0.5708,2.5,0.12058287925157687
168,17/03/2004,18.0,25.9,16.0,0.5237,5.0,8.106835159679
169,17/03/2004,19.0,23.1,26.5,0.7403,7.6,29.672537531323517
170,17/03/2004,20.0,20.5,38.2,0.9133,6.7,20.677486710369642
171,17/03/2004,21.0,19.1,42.6,0.9294,5.7,12.582985798198678
172,17/03/2004,22.0,17.2,44.1,0.8558,2.8,0.41893315290286726
173,17/03/2004,23.0,16.0,50.9,0.9206,2.6,0.20003297046867383
174,18/03/2004,0.0,14.8,53.9,0.9024,2.3,0.021682696817383097
175,18/03/2004,1.0,14.3,55.4,0.8975,1.4,0.5666318758635115
176,18/03/2004,2.0,14.8,52.1,0.8686,1.0,1.3288315109951239
177,18/03/2004,3.0,13.9,53.9,0.8501,0.7,2.1104812373438335
179,18/03/2004,5.0,12.0,58.9,0.8233,0.6,2.411031146126736
180,18/03/2004,6.0,10.9,62.1,0.8113,0.7,2.1104812373438335
181,18/03/2004,7.0,10.6,63.3,0.8067,1.5,0.42608196708060825
182,18/03/2004,8.0,11.5,60.0,0.8117,4.7,6.488484886027709
183,18/03/2004,9.0,14.3,50.6,0.8186,6.6,19.778036619152548
184,18/03/2004,10.0,17.8,40.5,0.821,4.5,5.509584703593514
185,18/03/2004,11.0,20.8,34.4,0.8365,2.8,0.41893315290286726
186,18/03/2004,12.0,23.8,28.2,0.8219,2.2,0.0022326056002862998
187,18/03/2004,13.0,24.2,28.7,0.8515,2.2,0.0022326056002862998
188,18/03/2004,14.0,25.2,24.9,0.7829,2.3,0.021682696817383097
189,18/03/2004,15.0,27.0,17.8,0.6275,2.2,0.0022326056002862998
190,18/03/2004,16.0,27.1,23.1,0.818,2.8,0.41893315290286726
191,18/03/2004,17.0,25.8,23.9,0.7832,2.7,0.2994830616857708
192,18/03/2004,18.0,23.0,26.8,0.7446,3.7,2.3939839738567397
193,18/03/2004,19.0,20.7,31.1,0.7523,5.1,8.686285250896093
194,18/03/2004,20.0,18.6,36.2,0.7676,5.1,8.686285250896093
195,18/03/2004,21.0,16.0,48.4,0.8768,3.2,1.0967335177712554
196,18/03/2004,22.0,14.5,57.8,0.9456,2.1,0.002782514383189408
197,18/03/2004,23.0,13.1,64.2,0.9606,1.7,0.204982149514802
198,19/03/2004,0.0,12.0,69.7,0.9735,2.0,0.02333242316609255
199,19/03/2004,1.0,11.9,71.1,0.9915,1.6,0.30553205829770497
200,19/03/2004,2.0,12.5,69.3,1.0029,0.9,1.5693814197780274
201,19/03/2004,3.0,12.5,67.5,0.9768,0.7,2.1104812373438335
203,19/03/2004,5.0,12.5,66.8,0.962,0.5,2.7315810549096398
204,19/03/2004,6.0,12.3,66.3,0.9487,0.7,2.1104812373438335
205,19/03/2004,7.0,12.4,64.9,0.9332,1.5,0.42608196708060825
206,19/03/2004,8.0,13.0,61.6,0.9209,4.8,7.007934977244804
207,19/03/2004,9.0,13.6,58.8,0.912,6.2,16.38023625428416
208,19/03/2004,10.0,13.9,57.1,0.9032,4.0,3.41233424750803
209,19/03/2004,11.0,14.5,54.4,0.8917,3.3,1.3161836089883514
210,19/03/2004,12.0,15.5,50.1,0.8744,2.8,0.41893315290286726
211,19/03/2004,13.0,16.1,47.6,0.8655,3.0,0.7178333353370612
212,19/03/2004,14.0,16.3,47.1,0.864,3.3,1.3161836089883514
213,19/03/2004,15.0,16.4,47.5,0.8791,3.5,1.8150837914225455
214,19/03/2004,16.0,16.1,50.2,0.9094,4.0,3.41233424750803
215,19/03/2004,17.0,16.0,50.7,0.9142,4.6,5.9890347948106095
216,19/03/2004,18.0,15.8,50.3,0.8989,4.1,3.7917843387251255
217,19/03/2004,19.0,15.5,50.6,0.884,4.5,5.509584703593514
218,19/03/2004,20.0,15.4,51.4,0.8956,3.9,3.052884156290933
219,19/03/2004,21.0,15.2,53.1,0.9117,4.0,3.41233424750803
220,19/03/2004,22.0,14.7,57.6,0.9573,2.2,0.0022326056002862998
221,19/03/2004,23.0,14.2,58.3,0.938,2.1,0.002782514383189408
222,20/03/2004,0.0,13.8,57.9,0.9085,1.7,0.204982149514802
223,20/03/2004,1.0,13.9,55.9,0.8842,1.6,0.30553205829770497
224,20/03/2004,2.0,13.9,55.6,0.8765,1.3,0.7271817846464144
225,20/03/2004,3.0,13.8,55.1,0.8666,1.3,0.7271817846464144
227,20/03/2004,5.0,13.6,55.1,0.856,0.8,1.82993132856093
228,20/03/2004,6.0,13.6,59.0,0.9129,0.8,1.82993132856093
229,20/03/2004,7.0,13.5,58.4,0.896,1.1,1.1082816022122206
230,20/03/2004,8.0,13.8,58.0,0.9083,2.1,0.002782514383189408
231,20/03/2004,9.0,14.6,53.1,0.8765,2.4,0.06113278803447997
232,20/03/2004,10.0,15.0,52.3,0.8881,2.6,0.20003297046867383
233,20/03/2004,11.0,15.4,52.1,0.9046,2.8,0.41893315290286726
234,20/03/2004,12.0,16.3,50.0,0.9158,2.6,0.20003297046867383
235,20/03/2004,13.0,17.1,47.9,0.9281,2.6,0.20003297046867383
236,20/03/2004,14.0,19.0,42.9,0.937,2.1,0.002782514383189408
237,20/03/2004,15.0,19.5,42.3,0.9476,1.7,0.204982149514802
238,20/03/2004,16.0,19.5,42.3,0.9493,1.6,0.30553205829770497
239,20/03/2004,17.0,19.1,43.8,0.9556,2.1,0.002782514383189408
240,20/03/2004,18.0,18.5,46.3,0.9744,2.3,0.021682696817383097
241,20/03/2004,19.0,17.4,51.6,1.0159,3.5,1.8150837914225455
242,20/03/2004,20.0,17.1,51.3,0.9914,3.9,3.052884156290933
243,20/03/2004,21.0,16.4,53.8,0.9964,3.3,1.3161836089883514
244,20/03/2004,22.0,16.2,55.4,1.0132,2.3,0.021682696817383097
245,20/03/2004,23.0,15.9,57.7,1.0356,2.1,0.002782514383189408
246,21/03/2004,0.0,15.7,58.6,1.0396,2.8,0.41893315290286726
247,21/03/2004,1.0,15.1,60.9,1.0398,2.1,0.002782514383189408
248,21/03/2004,2.0,15.6,56.6,0.9951,1.6,0.30553205829770497
249,21/03/2004,3.0,15.2,57.9,0.9941,1.6,0.30553205829770497
251,21/03/2004,5.0,14.9,60.6,1.0196,1.1,1.1082816022122206
252,21/03/2004,6.0,14.5,63.0,1.0316,0.7,2.1104812373438335
253,21/03/2004,7.0,14.2,66.2,1.063,0.8,1.82993132856093
254,21/03/2004,8.0,14.5,65.3,1.0704,1.2,0.9077316934293177
255,21/03/2004,9.0,15.3,62.1,1.073,1.4,0.5666318758635115
256,21/03/2004,10.0,16.3,59.0,1.0868,1.7,0.204982149514802
257,21/03/2004,11.0,18.9,49.6,1.07,1.8,0.12443224073189879
258,21/03/2004,12.0,19.4,46.1,1.0249,1.8,0.12443224073189879
259,21/03/2004,13.0,20.8,41.6,1.0091,1.9,0.06388233194899573
260,21/03/2004,14.0,21.4,40.3,1.0126,1.3,0.7271817846464144
261,21/03/2004,15.0,21.2,39.3,0.9791,1.6,0.30553205829770497
262,21/03/2004,16.0,20.3,38.0,0.8942,1.9,0.06388233194899573
263,21/03/2004,17.0,19.4,41.3,0.9206,2.3,0.021682696817383097
264,21/03/2004,18.0,18.5,43.8,0.9252,3.8,2.7134340650738356
265,21/03/2004,19.0,17.8,48.1,0.9689,3.5,1.8150837914225455
266,21/03/2004,20.0,17.9,46.9,0.952,4.3,4.610684521159319
267,21/03/2004,21.0,17.4,49.1,0.9688,2.8,0.41893315290286726
268,21/03/2004,22.0,17.0,51.7,0.9914,1.9,0.06388233194899573
269,21/03/2004,23.0,16.4,55.1,1.0198,1.9,0.06388233194899573
270,22/03/2004,0.0,16.1,60.0,1.0919,1.7,0.204982149514802
271,22/03/2004,1.0,15.8,60.5,1.0805,1.5,0.42608196708060825
272,22/03/2004,2.0,16.3,57.0,1.0491,0.6,2.411031146126736
273,22/03/2004,3.0,16.9,53.9,1.0309,0.4,3.072130963692543
275,22/03/2004,5.0,16.5,53.9,1.0049,0.3,3.4326808724754456
276,22/03/2004,6.0,16.4,54.0,0.9979,0.6,2.411031146126736
277,22/03/2004,7.0,15.7,57.6,1.0195,1.2,0.9077316934293177
278,22/03/2004,8.0,15.8,53.7,0.9571,3.6,2.0945338826396425
279,22/03/2004,9.0,17.4,42.1,0.8281,3.7,2.3939839738567397
280,22/03/2004,10.0,17.9,38.4,0.7793,1.8,0.12443224073189879
281,22/03/2004,11.0,18.5,36.7,0.7764,1.6,0.30553205829770497
282,22/03/2004,12.0,21.0,29.6,0.7263,1.9,0.06388233194899573
283,22/03/2004,13.0,21.3,28.1,0.7067,2.0,0.02333242316609255
284,22/03/2004,14.0,21.3,26.1,0.6539,2.2,0.0022326056002862998
285,22/03/2004,15.0,21.3,26.8,0.6681,2.1,0.002782514383189408
286,22/03/2004,16.0,21.3,24.2,0.606,2.3,0.021682696817383097
287,22/03/2004,17.0,20.2,28.5,0.6682,2.6,0.20003297046867383
288,22/03/2004,18.0,17.0,43.1,0.8264,3.8,2.7134340650738356
289,22/03/2004,19.0,15.6,47.4,0.8347,4.4,5.050134612376419
290,22/03/2004,20.0,15.3,47.4,0.8178,4.5,5.509584703593514
291,22/03/2004,21.0,14.5,49.7,0.8177,3.3,1.3161836089883514
292,22/03/2004,22.0,13.9,52.0,0.8231,2.0,0.02333242316609255
293,22/03/2004,23.0,14.5,49.4,0.8106,1.1,1.1082816022122206
294,23/03/2004,0.0,13.8,51.4,0.8071,0.9,1.5693814197780274
295,23/03/2004,1.0,14.0,51.3,0.8163,0.8,1.82993132856093
296,23/03/2004,2.0,13.0,56.8,0.8444,0.7,2.1104812373438335
297,23/03/2004,3.0,11.0,70.0,0.9215,0.5,2.7315810549096398
299,23/03/2004,5.0,8.8,80.5,0.9147,0.3,3.4326808724754456
300,23/03/2004,6.0,9.6,75.4,0.9004,0.5,2.7315810549096398
301,23/03/2004,7.0,9.8,75.0,0.9093,1.1,1.1082816022122206
302,23/03/2004,8.0,10.0,74.2,0.9117,3.0,0.7178333353370612
303,23/03/2004,9.0,11.2,69.7,0.9232,3.8,2.7134340650738356
304,23/03/2004,10.0,12.0,62.9,0.8803,3.4,1.5556337002054486
305,23/03/2004,11.0,12.8,55.8,0.821,3.0,0.7178333353370612
306,23/03/2004,12.0,13.1,54.8,0.8234,2.7,0.2994830616857708
307,23/03/2004,13.0,13.8,53.4,0.8351,3.5,1.8150837914225455
308,23/03/2004,14.0,16.0,42.4,0.7674,2.8,0.41893315290286726
309,23/03/2004,15.0,14.1,49.8,0.7971,1.9,0.06388233194899573
310,23/03/2004,16.0,12.0,61.1,0.8537,2.0,0.02333242316609255
311,23/03/2004,17.0,13.6,54.6,0.8465,3.0,0.7178333353370612
312,23/03/2004,18.0,13.7,49.5,0.7695,1.9,0.06388233194899573
313,23/03/2004,19.0,11.7,57.1,0.7822,2.7,0.2994830616857708
314,23/03/2004,20.0,11.5,58.2,0.7867,3.3,1.3161836089883514
315,23/03/2004,21.0,12.6,54.2,0.7881,1.7,0.204982149514802
316,23/03/2004,22.0,12.0,54.9,0.7664,1.3,0.7271817846464144
317,23/03/2004,23.0,11.0,61.4,0.8057,1.3,0.7271817846464144
318,24/03/2004,0.0,11.1,62.2,0.8199,1.2,0.9077316934293177
319,24/03/2004,1.0,10.8,62.5,0.8082,1.1,1.1082816022122206
320,24/03/2004,2.0,11.3,60.0,0.8025,0.9,1.5693814197780274
321,24/03/2004,3.0,10.6,61.6,0.7856,0.6,2.411031146126736
323,24/03/2004,5.0,10.9,58.6,0.7628,0.6,2.411031146126736
324,24/03/2004,6.0,10.8,57.2,0.7382,0.8,1.82993132856093
325,24/03/2004,7.0,10.4,59.2,0.7455,1.2,0.9077316934293177
326,24/03/2004,8.0,11.0,57.3,0.7501,3.1,0.8972834265541583
327,24/03/2004,9.0,11.2,56.9,0.7565,4.4,5.050134612376419
328,24/03/2004,10.0,12.1,54.9,0.7734,3.4,1.5556337002054486
329,24/03/2004,11.0,15.1,44.3,0.7535,1.7,0.204982149514802
330,24/03/2004,12.0,15.6,40.6,0.7146,1.5,0.42608196708060825
331,24/03/2004,13.0,16.9,34.6,0.6597,1.7,0.204982149514802
332,24/03/2004,14.0,16.6,35.6,0.6697,2.2,0.0022326056002862998
334,24/03/2004,16.0,9.6,81.1,0.972,2.7,0.2994830616857708
335,24/03/2004,17.0,11.7,69.1,0.9497,2.8,0.41893315290286726
336,24/03/2004,18.0,10.7,68.5,0.8794,2.7,0.2994830616857708
337,24/03/2004,19.0,10.7,67.3,0.8643,4.5,5.509584703593514
338,24/03/2004,20.0,10.8,65.7,0.8486,3.5,1.8150837914225455
339,24/03/2004,21.0,10.3,66.3,0.8336,2.6,0.20003297046867383
340,24/03/2004,22.0,10.1,66.9,0.8248,1.7,0.204982149514802
341,24/03/2004,23.0,10.4,61.1,0.7717,1.3,0.7271817846464144
342,25/03/2004,0.0,10.3,59.9,0.7516,1.3,0.7271817846464144
343,25/03/2004,1.0,11.0,58.4,0.7686,1.0,1.3288315109951239
344,25/03/2004,2.0,9.1,68.1,0.789,0.7,2.1104812373438335
345,25/03/2004,3.0,9.5,68.2,0.8091,0.7,2.1104812373438335
346,25/03/2004,4.0,9.3,72.3,0.8496,0.5,2.7315810549096398
347,25/03/2004,5.0,9.9,66.8,0.8152,0.5,2.7315810549096398
348,25/03/2004,6.0,7.6,83.2,0.8695,0.6,2.411031146126736
349,25/03/2004,7.0,8.1,79.0,0.8544,1.1,1.1082816022122206
350,25/03/2004,8.0,8.7,74.6,0.8429,2.7,0.2994830616857708
351,25/03/2004,9.0,8.6,75.1,0.8415,3.5,1.8150837914225455
352,25/03/2004,10.0,9.7,69.7,0.8389,2.3,0.021682696817383097
353,25/03/2004,11.0,11.0,64.4,0.8447,1.6,0.30553205829770497
354,25/03/2004,12.0,13.6,53.0,0.8209,1.3,0.7271817846464144
355,25/03/2004,13.0,14.2,48.4,0.778,2.0,0.02333242316609255
356,25/03/2004,14.0,14.2,46.3,0.7438,1.9,0.06388233194899573
357,25/03/2004,15.0,16.0,41.3,0.7462,1.9,0.06388233194899573
358,25/03/2004,16.0,17.7,35.4,0.7094,2.2,0.0022326056002862998
359,25/03/2004,17.0,17.1,37.4,0.7225,2.0,0.02333242316609255
360,25/03/2004,18.0,14.9,40.5,0.6835,2.9,0.5583832441199642
361,25/03/2004,19.0,13.4,47.8,0.7293,5.2,9.285735342113194
362,25/03/2004,20.0,12.6,52.5,0.7642,4.6,5.9890347948106095
363,25/03/2004,21.0,12.2,53.2,0.7555,2.5,0.12058287925157687
364,25/03/2004,22.0,10.6,56.1,0.714,1.5,0.42608196708060825
365,25/03/2004,23.0,9.9,59.5,0.7276,1.2,0.9077316934293177
366,26/03/2004,0.0,9.6,61.1,0.7323,1.7,0.204982149514802
367,26/03/2004,1.0,9.7,61.6,0.7425,1.4,0.5666318758635115
368,26/03/2004,2.0,9.4,62.6,0.7398,1.2,0.9077316934293177
369,26/03/2004,3.0,8.2,68.5,0.7455,0.6,2.411031146126736
370,26/03/2004,4.0,8.0,69.4,0.7459,0.7,2.1104812373438335
371,26/03/2004,5.0,7.7,72.4,0.7655,0.8,1.82993132856093
372,26/03/2004,6.0,8.0,71.8,0.7711,0.9,1.5693814197780274
373,26/03/2004,7.0,8.5,66.3,0.7375,1.6,0.30553205829770497
374,26/03/2004,8.0,9.8,59.6,0.7214,3.4,1.5556337002054486
375,26/03/2004,9.0,11.2,57.0,0.7544,3.8,2.7134340650738356
